latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
44.467924,-80.428662,018,029,1712,4447,2025-09-02,1603,L8,high,D
44.467654,-80.428665,018,029,1712,4448,2025-09-02,1603,L8,high,D
43.973389,-80.378444,018,029,1859,6277,2025-09-02,1603,L8,high,D
43.973657,-80.378067,018,029,1860,6276,2025-09-02,1603,L8,low,D
43.973387,-80.37807,018,029,1860,6277,2025-09-02,1603,L8,high,D
44.265154,-80.252846,018,029,2185,5194,2025-09-02,1603,L8,high,D
44.264884,-80.25285,018,029,2185,5195,2025-09-02,1603,L8,high,D
44.265422,-80.252467,018,029,2186,5193,2025-09-02,1603,L8,high,D
44.265152,-80.252471,018,029,2186,5194,2025-09-02,1603,L8,high,D
44.264881,-80.252474,018,029,2186,5195,2025-09-02,1603,L8,high,D
44.265419,-80.252091,018,029,2187,5193,2025-09-02,1603,L8,high,D
44.265149,-80.252095,018,029,2187,5194,2025-09-02,1603,L8,high,D
44.264879,-80.252098,018,029,2187,5195,2025-09-02,1603,L8,high,D
44.405191,-79.959079,018,029,2960,4667,2025-09-02,1603,L8,high,D
44.405188,-79.958702,018,029,2961,4667,2025-09-02,1603,L8,low,D
43.831583,-79.854551,018,029,3267,6787,2025-09-02,1603,L8,low,D
44.341076,-79.810052,018,029,3359,4899,2025-09-02,1603,L8,low,D
44.341072,-79.809675,018,029,3360,4899,2025-09-02,1603,L8,high,D
44.587186,-79.623634,018,029,3839,3980,2025-09-02,1603,L8,low,D
44.32723,-79.590221,018,029,3944,4941,2025-09-02,1603,L8,high,D
44.32696,-79.590227,018,029,3944,4942,2025-09-02,1603,L8,high,D
44.327225,-79.589845,018,029,3945,4941,2025-09-02,1603,L8,high,D
44.327221,-79.589469,018,029,3946,4941,2025-09-02,1603,L8,high,D
44.326951,-79.589475,018,029,3946,4942,2025-09-02,1603,L8,low,D
44.324106,-79.57788,018,029,3977,4952,2025-09-02,1603,L8,high,D
44.323836,-79.577887,018,029,3977,4953,2025-09-02,1603,L8,high,D
44.324101,-79.577504,018,029,3978,4952,2025-09-02,1603,L8,high,D
44.323831,-79.57751,018,029,3978,4953,2025-09-02,1603,L8,high,D
43.865564,-79.499974,018,029,4215,6646,2025-09-02,1603,L8,low,D
43.674559,-79.47683,018,029,4290,7352,2025-09-02,1603,L8,high,D
43.674289,-79.476837,018,029,4290,7353,2025-09-02,1603,L8,high,D
44.26471,-79.129789,018,029,5173,5148,2025-09-02,1603,L8,medium,D
44.26444,-79.129797,018,029,5173,5149,2025-09-02,1603,L8,high,D
44.264703,-79.129413,018,029,5174,5148,2025-09-02,1603,L8,high,D
44.264434,-79.129422,018,029,5174,5149,2025-09-02,1603,L8,high,D
44.264164,-79.12943,018,029,5174,5150,2025-09-02,1603,L8,high,D
44.335669,-79.125276,018,029,5179,4885,2025-09-02,1603,L8,high,D
44.268011,-79.100741,018,029,5250,5134,2025-09-02,1603,L8,low,D
44.513102,-79.092041,018,029,5252,4226,2025-09-02,1603,L8,low,D
44.513096,-79.091664,018,029,5253,4226,2025-09-02,1603,L8,low,D
44.38442,-78.990397,018,029,5533,4696,2025-09-02,1603,L8,low,D
44.384684,-78.990011,018,029,5534,4695,2025-09-02,1603,L8,high,D
44.384414,-78.99002,018,029,5534,4696,2025-09-02,1603,L8,high,D
44.384144,-78.990029,018,029,5534,4697,2025-09-02,1603,L8,high,D
44.383874,-78.990039,018,029,5534,4698,2025-09-02,1603,L8,high,D
44.383334,-78.990057,018,029,5534,4700,2025-09-02,1603,L8,low,D
44.384947,-78.989625,018,029,5535,4694,2025-09-02,1603,L8,low,D
44.384677,-78.989634,018,029,5535,4695,2025-09-02,1603,L8,high,D
44.384407,-78.989644,018,029,5535,4696,2025-09-02,1603,L8,high,D
44.384137,-78.989653,018,029,5535,4697,2025-09-02,1603,L8,high,D
44.383867,-78.989662,018,029,5535,4698,2025-09-02,1603,L8,medium,D
44.383597,-78.989671,018,029,5535,4699,2025-09-02,1603,L8,high,D
44.383327,-78.989681,018,029,5535,4700,2025-09-02,1603,L8,high,D
44.383058,-78.98969,018,029,5535,4701,2025-09-02,1603,L8,high,D
44.38494,-78.989249,018,029,5536,4694,2025-09-02,1603,L8,low,D
44.38467,-78.989258,018,029,5536,4695,2025-09-02,1603,L8,high,D
44.3844,-78.989267,018,029,5536,4696,2025-09-02,1603,L8,high,D
44.384131,-78.989277,018,029,5536,4697,2025-09-02,1603,L8,high,D
44.383321,-78.989304,018,029,5536,4700,2025-09-02,1603,L8,low,D
44.383051,-78.989314,018,029,5536,4701,2025-09-02,1603,L8,high,D
44.103432,-78.98495,018,029,5573,5736,2025-09-02,1603,L8,high,D
44.402207,-78.912934,018,029,5737,4625,2025-09-02,1603,L8,low,D
44.401937,-78.912943,018,029,5737,4626,2025-09-02,1603,L8,high,D
44.252161,-78.861132,018,029,5889,5177,2025-09-02,1603,L8,high,D
44.251891,-78.861142,018,029,5889,5178,2025-09-02,1603,L8,high,D
44.251621,-78.861152,018,029,5889,5179,2025-09-02,1603,L8,high,D
44.251074,-78.860796,018,029,5890,5181,2025-09-02,1603,L8,high,D
44.250804,-78.860805,018,029,5890,5182,2025-09-02,1603,L8,high,D
44.249995,-78.860835,018,029,5890,5185,2025-09-02,1603,L8,high,D
44.249725,-78.860845,018,029,5890,5186,2025-09-02,1603,L8,high,D
44.252147,-78.860381,018,029,5891,5177,2025-09-02,1603,L8,high,D
44.251067,-78.86042,018,029,5891,5181,2025-09-02,1603,L8,low,D
44.249718,-78.860469,018,029,5891,5186,2025-09-02,1603,L8,high,D
44.249448,-78.860479,018,029,5891,5187,2025-09-02,1603,L8,high,D
44.25214,-78.860005,018,029,5892,5177,2025-09-02,1603,L8,high,D
44.25133,-78.860035,018,029,5892,5180,2025-09-02,1603,L8,high,D
44.25106,-78.860045,018,029,5892,5181,2025-09-02,1603,L8,high,D
44.252403,-78.85962,018,029,5893,5176,2025-09-02,1603,L8,low,D
44.252133,-78.85963,018,029,5893,5177,2025-09-02,1603,L8,low,D
44.251323,-78.859659,018,029,5893,5180,2025-09-02,1603,L8,high,D
44.251053,-78.859669,018,029,5893,5181,2025-09-02,1603,L8,high,D
44.252396,-78.859245,018,029,5894,5176,2025-09-02,1603,L8,high,D
44.252126,-78.859254,018,029,5894,5177,2025-09-02,1603,L8,high,D
44.251316,-78.859284,018,029,5894,5180,2025-09-02,1603,L8,high,D
44.252389,-78.858869,018,029,5895,5176,2025-09-02,1603,L8,high,D
44.252119,-78.858879,018,029,5895,5177,2025-09-02,1603,L8,low,D
44.251579,-78.858898,018,029,5895,5179,2025-09-02,1603,L8,high,D
44.251309,-78.858908,018,029,5895,5180,2025-09-02,1603,L8,high,D
44.251572,-78.858523,018,029,5896,5179,2025-09-02,1603,L8,high,D
44.251302,-78.858533,018,029,5896,5180,2025-09-02,1603,L8,high,D
44.251835,-78.858138,018,029,5897,5178,2025-09-02,1603,L8,medium,D
44.252907,-78.857723,018,029,5898,5174,2025-09-02,1603,L8,high,D
44.252637,-78.857733,018,029,5898,5175,2025-09-02,1603,L8,high,D
44.251828,-78.857762,018,029,5898,5178,2025-09-02,1603,L8,medium,D
44.251558,-78.857772,018,029,5898,5179,2025-09-02,1603,L8,medium,D
44.253163,-78.856962,018,029,5900,5173,2025-09-02,1603,L8,high,D
44.252893,-78.856972,018,029,5900,5174,2025-09-02,1603,L8,medium,D
44.253156,-78.856587,018,029,5901,5173,2025-09-02,1603,L8,medium,D
44.252851,-78.854719,018,029,5906,5174,2025-09-02,1603,L8,low,D
44.733327,-78.812396,018,029,5971,3392,2025-09-02,1603,L8,medium,D
44.733057,-78.812406,018,029,5971,3393,2025-09-02,1603,L8,medium,D
44.139357,-78.795075,018,029,6076,5590,2025-09-02,1603,L8,high,D
43.895532,-78.798867,018,029,6090,6493,2025-09-02,1603,L8,high,D
44.139582,-78.683674,018,029,6373,5581,2025-09-02,1603,L8,high,D
44.417072,-78.623377,018,029,6504,4549,2025-09-02,1603,L8,high,D
44.339083,-78.487666,018,029,6873,4827,2025-09-02,1603,L8,high,D
44.339345,-78.487279,018,029,6874,4826,2025-09-02,1603,L8,high,D
44.338257,-78.486949,018,029,6875,4830,2025-09-02,1603,L8,high,D
44.337987,-78.486961,018,029,6875,4831,2025-09-02,1603,L8,high,D
44.337979,-78.486585,018,029,6876,4831,2025-09-02,1603,L8,high,D
44.390919,-78.474525,018,029,6902,4634,2025-09-02,1603,L8,high,D
44.390911,-78.474149,018,029,6903,4634,2025-09-02,1603,L8,high,D
41.466217,-81.677254,018,031,862,4996,2025-09-02,1604,L8,medium,D
41.455679,-81.677144,018,031,862,5035,2025-09-02,1604,L8,medium,D
41.454868,-81.677136,018,031,862,5038,2025-09-02,1604,L8,medium,D
41.454598,-81.677133,018,031,862,5039,2025-09-02,1604,L8,medium,D
41.466489,-81.676897,018,031,863,4995,2025-09-02,1604,L8,high,D
41.466219,-81.676894,018,031,863,4996,2025-09-02,1604,L8,medium,D
41.463247,-81.676864,018,031,863,5007,2025-09-02,1604,L8,medium,D
41.456762,-81.676796,018,031,863,5031,2025-09-02,1604,L8,medium,D
41.455681,-81.676785,018,031,863,5035,2025-09-02,1604,L8,high,D
41.455411,-81.676782,018,031,863,5036,2025-09-02,1604,L8,high,D
41.455141,-81.676779,018,031,863,5037,2025-09-02,1604,L8,medium,D
41.4546,-81.676774,018,031,863,5039,2025-09-02,1604,L8,medium,D
41.45433,-81.676771,018,031,863,5040,2025-09-02,1604,L8,medium,D
41.467032,-81.676544,018,031,864,4993,2025-09-02,1604,L8,medium,D
41.466762,-81.676541,018,031,864,4994,2025-09-02,1604,L8,medium,D
41.466491,-81.676538,018,031,864,4995,2025-09-02,1604,L8,medium,D
41.462979,-81.676502,018,031,864,5008,2025-09-02,1604,L8,medium,D
41.462981,-81.676142,018,031,865,5008,2025-09-02,1604,L8,medium,D
41.463534,-81.673993,018,031,871,5006,2025-09-02,1604,L8,high,D
41.463264,-81.67399,018,031,871,5007,2025-09-02,1604,L8,high,D
41.462993,-81.673987,018,031,871,5008,2025-09-02,1604,L8,medium,D
41.463536,-81.673633,018,031,872,5006,2025-09-02,1604,L8,high,D
41.463266,-81.673631,018,031,872,5007,2025-09-02,1604,L8,high,D
